timestamp,tag_id,x_pos,y_pos,heading,direction,energy,speed,total_distance
05:13.0,16,35.3014,47.5268,1.7866,0,259.146,0,299.465
05:13.0,12,34.4418,38.5675,2.27549,1.10649,249.506,0.730571,239.433
05:13.0,3,71.1769,71.8776,-2.19896,0,1.24455,0,2.89645
05:13.0,13,35.7741,22.4835,0.0694391,-2.53215,181.633,1.81242,234.39
05:13.0,8,53.2777,41.9188,2.59382,-3.06741,165.04,0.899691,287.31
05:13.0,15,42.7315,42.2995,0.112436,-0.52032,145.565,0.62888,204.856
05:13.0,2,35.1948,30.1413,-1.8279,-2.19761,142.935,0.376807,203.511
05:13.0,7,41.7593,49.8924,1.89341,-1.48323,155.069,0.47285,380.053
05:13.0,6,47.1811,19.9335,2.10268,2.18553,243.236,0.496467,278.17
05:13.0,11,44.165,28.8029,1.6251,-1.72726,253.631,0.592412,274.661
05:13.0,10,39.4809,33.1721,1.38003,2.84618,331.17,1.53931,333.541
05:23.5,16,36.5422,47.1032,1.37944,0.353151,259.663,0.702372,300.653
05:23.5,12,35.2544,38.5206,1.89725,2.75457,253.383,2.0994,245.551
05:23.5,3,71.1769,71.8776,-2.19513,0,1.24456,0,2.89645
05:23.5,13,35.5154,21.8137,0.110839,2.36716,182.968,1.14641,246.874
05:23.5,8,53.7054,42.8354,2.81482,1.64865,167.47,0.949532,294.615
05:23.5,15,44.7627,41.3382,-0.062712,2.3405,147.318,2.55065,211.782
05:23.5,2,35.1748,30.3677,-1.86952,0.715345,145.012,0.941057,212.802
05:23.5,7,44.4818,50.5781,1.53754,1.4959,166.955,2.25746,388.388
05:23.5,6,46.5448,20.4829,1.22223,0.465292,244.335,0.207448,280.297
05:23.5,11,44.416,27.5799,1.77563,-0.12755,257.38,1.09878,284.754
05:23.5,10,40.4516,31.9035,1.0755,2.21053,354.396,1.91777,343.823
05:22.2,16,36.1337,47.7292,1.97642,-3.08103,259.384,0.420999,299.736
05:22.2,12,34.6676,39.5119,1.80753,0.892536,252.776,0.677045,244.211
05:22.2,3,71.1769,71.8776,-2.20175,0,1.24456,0,2.89645
05:22.2,13,35.7942,23.4164,0.447853,-2.69283,182.485,1.25806,245.143
05:22.2,8,52.5505,43.8668,2.46769,2.41667,166.325,0.558736,293.029
05:22.2,15,43.4869,43.1784,0.369692,2.4324,146.842,0.958091,209.533
05:22.2,2,35.333,30.6221,-1.80923,-2.74828,144.646,1.73074,211.722
05:22.2,7,43.0719,49.8306,1.59707,2.29408,158.025,0.83089,386.69
05:22.2,6,46.5011,20.086,2.16656,0.718654,243.601,0.488562,279.853
05:22.2,11,44.2744,28.0789,1.80063,2.73609,257.069,1.28924,283.753
05:22.2,10,39.267,32.8852,1.25051,0.512791,353.248,1.44747,341.969
05:25.0,16,37.4028,49.982,0.703279,0.582329,260.472,2.74506,303.696
05:25.0,12,37.074,39.5406,1.34914,0.385546,256.032,3.70489,248.758
05:25.0,3,71.1769,71.8776,-2.19285,0,1.24458,0,2.89645
05:25.0,13,38.0181,21.3111,0.0679538,1.36262,186.934,2.15951,249.507
05:25.0,8,56.905,41.6186,1.98148,1.95686,172.894,2.86745,298.069
05:25.0,15,47.6276,40.5531,-1.06343,0.880259,154.589,1.74855,215.042
05:25.0,2,37.1718,31.1309,-2.1092,1.44157,147.617,1.81521,214.98
05:25.0,7,48.2588,50.8526,1.10136,1.19835,172.256,3.10586,392.261
05:25.0,6,48.7908,21.8409,1.80271,1.42236,248.709,2.92045,283.016
05:25.0,11,45.8603,29.7278,2.3964,1.18192,260.607,1.40775,287.508
05:25.0,10,42.3964,34.6019,0.403168,0.436887,359.428,2.65744,347.656
05:25.4,16,38.1977,50.9577,1.01393,0.774677,261.807,2.72723,304.956
05:25.4,12,37.6383,41.1734,1.74462,0.30374,257.322,3.6814,250.486
05:25.4,3,71.1769,71.8776,-2.19934,0,1.24458,0,2.89645
05:25.4,13,38.9314,21.6585,0.221315,1.10178,188.451,2.10934,250.487
05:25.4,8,57.8402,41.3088,1.90407,1.81984,174.108,1.60153,299.055
05:25.4,15,48.1709,41.0542,-0.393031,0.918913,157.656,1.36898,215.781
05:25.4,2,37.8927,31.2004,-2.6097,1.52506,148.805,1.37824,215.705
05:25.4,7,49.58,51.2439,1.17012,1.42254,173.334,2.8511,393.642
05:25.4,6,50.1211,21.9137,1.80761,1.58786,250.028,2.85717,284.35
05:25.4,11,46.3812,29.7885,2.52932,1.71021,260.961,1.11232,288.039
05:25.4,10,42.8818,35.3617,0.512963,0.686162,361.861,1.43973,348.561
